,Country,Year,PM2.5,Life Expectancy
473,China,2016,85,
474,China,2016,44,
475,China,2016,33,
476,China,2016,39,
477,China,2016,42,
478,China,2014,51,
479,China,2016,73,
480,China,2016,32,
481,China,2016,62,
482,China,2016,58,
483,China,2016,60,
484,China,2016,46,
485,China,2014,54,
486,China,2014,48,
487,China,2016,62,
488,China,2016,55,
489,China,2016,50,
490,China,2016,28,
491,China,2014,64,
492,China,2016,72,
493,China,2014,30,
494,China,2016,30,
495,China,2014,20,
496,China,2014,32,
497,China,2014,58,
498,China,2016,28,
499,China,2014,46,
500,China,2016,73,
501,China,2014,56,
502,China,2014,56,
503,China,2016,66,
504,China,2016,54,
505,China,2016,63,
506,China,2015,26,
507,China,2016,46,
508,China,2016,86,
509,China,2016,47,
510,China,2016,46,
511,China,2014,26,
512,China,2014,58,
513,China,2016,28,
514,China,2016,74,
515,China,2014,56,
516,China,2016,33,
517,China,2016,39,
518,China,2016,44,
519,China,2014,52,
520,China,2016,24,
521,China,2016,46,
522,China,2016,46,
523,China,2016,77,
524,China,2016,79,
525,China,2016,64,
526,China,2016,49,
527,China,2014,57,
528,China,2016,30,
529,China,2016,28,
530,China,2016,49,
531,China,2014,25,
532,China,2016,37,
533,China,2016,43,
534,China,2014,57,
535,China,2016,48,
536,China,2016,36,
537,China,2016,25,
538,China,2016,46,
539,China,2014,34,
540,China,2016,63,
541,China,2016,54,
542,China,2014,22,
543,China,2016,39,
544,China,2016,27,
545,China,2016,40,
546,China,2016,32,
547,China,2014,16,
548,China,2014,46,
549,China,2016,75,
550,China,2014,58,
551,China,2016,41,
552,China,2014,22,
553,China,2016,29,
554,China,2016,69,
555,China,2016,28,
556,China,2016,45,
557,China,2016,36,
558,China,2016,46,
559,China,2016,37,
560,China,2016,36,
561,China,2016,28,
562,China,2014,32,
563,China,2016,43,
564,China,2016,55,
565,China,2014,38,
566,China,2014,48,
567,China,2016,66,
568,China,2016,26,
569,China,2016,14,
570,China,2016,45,
571,China,2016,39,
572,China,2016,77,
573,China,2016,41,
574,China,2016,30,
575,China,2016,24,
576,China,2016,33,
577,China,2016,45,
578,China,2016,54,
579,China,2016,54,
580,China,2016,27,
581,China,2015,89,
582,China,2016,51,
583,China,2016,47,
584,China,2014,78,
585,China,2016,34,
586,China,2016,46,
587,China,2016,35,
588,China,2016,44,
589,China,2016,56,
590,China,2016,56,
591,China,2016,46,
592,China,2016,63,
593,China,2014,55,
594,China,2014,54,
595,China,2014,29,
596,China,2014,29,
597,China,2014,19,
598,China,2014,10,
599,China,2016,66,
600,China,2014,43,
601,China,2016,51,
602,China,2016,36,
603,China,2016,74,
604,China,2014,24,
605,China,2016,69,
606,China,2016,42,
607,China,2016,48,
608,China,2016,59,
609,China,2016,42,
610,China,2016,51,
611,China,2016,25,
612,China,2016,74,
613,China,2014,58,
614,China,2016,76,
615,China,2014,49,
616,China,2016,35,
617,China,2014,68,
618,China,2014,46,
619,China,2016,38,
620,China,2016,46,
621,China,2016,57,
622,China,2016,53,
623,China,2014,56,
624,China,2016,39,
625,China,2016,53,
626,China,2016,48,
627,China,2016,71,
628,China,2016,49,
629,China,2016,28,
630,China,2016,51,
631,China,2016,44,
632,China,2016,64,
633,China,2016,48,
634,China,2016,82,
635,China,2016,45,
636,China,2016,87,
637,China,2014,63,
638,China,2016,84,
639,China,2016,58,
640,China,2016,56,
641,China,2016,51,
642,China,2016,68,
643,China,2016,60,
644,China,2016,42,
645,China,2014,48,
646,China,2016,31,
647,China,2016,43,
648,China,2016,31,
649,China,2014,70,
650,China,2016,51,
651,China,2016,39,
652,China,2015,58,
653,China,2016,62,
654,China,2014,16,
655,China,2016,55,
656,China,2016,44,
657,China,2016,41,
658,China,2014,58,
659,China,2014,54,
660,China,2016,44,
661,China,2016,45,
662,China,2016,49,
663,China,2016,34,
664,China,2014,31,
665,China,2016,17,
666,China,2014,30,
667,China,2016,81,
668,China,2014,60,
669,China,2016,48,
670,China,2016,32,
671,China,2014,47,
672,China,2016,38,
673,China,2016,33,
674,China,2016,26,
675,China,2016,37,
676,China,2016,39,
677,China,2014,54,
678,China,2016,78,
679,China,2016,50,
680,China,2016,30,
681,China,2016,68,
682,China,2016,25,
683,China,2016,26,
684,China,2014,58,
685,China,2016,68,
686,China,2016,51,
687,China,2014,54,
688,China,2016,73,
689,China,2016,49,
690,China,2016,44,
691,Cameroon,2012,67,
692,Cameroon,2012,132,
693,Cameroon,2012,49,
694,Colombia,2015,30,
695,Colombia,2015,26,
696,Colombia,2014,41,
697,Colombia,2014,18,
698,Colombia,2015,36,
699,Colombia,2014,9,
700,Colombia,2016,18,
701,Costa Rica,2013,30,
702,Costa Rica,2013,29,
703,Costa Rica,2013,14,
704,Costa Rica,2013,24,
705,Cuba,2015,35,
706,Cyprus,2016,10,
707,Cyprus,2013,13,
708,Cyprus,2016,15,
709,Cyprus,2013,17,
710,Cyprus,2016,15,
711,Cyprus,2013,17,
712,Cyprus,2013,16,
713,Cyprus,2016,15,
714,Cyprus,2016,15,
715,Czechia,2016,21,
716,Czechia,2016,17,
717,Czechia,2016,17,
718,Czechia,2016,15,
719,Czechia,2016,19,
720,Czechia,2016,26,
721,Czechia,2016,11,
722,Czechia,2016,25,
723,Czechia,2016,17,
724,Czechia,2016,32,
725,Czechia,2016,18,
726,Czechia,2016,23,
727,Czechia,2016,12,
728,Czechia,2016,26,
729,Czechia,2016,26,
730,Czechia,2016,17,
731,Czechia,2016,18,
732,Czechia,2016,15,
733,Czechia,2016,15,
734,Czechia,2016,17,
735,Czechia,2016,27,
736,Czechia,2016,16,
737,Czechia,2016,13,
738,Czechia,2016,17,
739,Czechia,2016,17,
740,Czechia,2016,19,
741,Czechia,2016,15,
742,Czechia,2016,19,
743,Czechia,2016,18,
744,Czechia,2016,22,
745,Czechia,2016,22,
746,Czechia,2016,25,
747,Czechia,2016,17,
748,Czechia,2016,17,
749,Czechia,2016,17,
750,Czechia,2016,22,
