,Year,Age,Value
342,1991,>70,3.576285962
343,1991,50-69,4.211509168
344,1991,43965,0.04614796
345,1992,<5,0.490776182
346,1992,>70,3.655560526
347,1992,50-69,4.287186519
348,1992,43965,0.045288144
349,1993,<5,0.46669511
350,1993,>70,3.657294459
351,1993,50-69,4.261084754
352,1993,43965,0.044033791
353,1994,<5,0.443562063
354,1994,>70,3.679761235
355,1994,50-69,4.279615257
356,1994,43965,0.043022449
357,1995,<5,0.421412008
358,1995,>70,3.692669089
359,1995,50-69,4.287260018
360,1995,43965,0.042152004
361,1996,<5,0.397869054
362,1996,>70,3.671754916
363,1996,50-69,4.279594343
364,1996,43965,0.041456184
365,1997,<5,0.373240473
366,1997,>70,3.630191977
367,1997,50-69,4.260670689
368,1997,43965,0.04010374
369,1998,<5,0.362660322
370,1998,>70,3.545079661
371,1998,50-69,4.227135174
372,1998,43965,0.039829818
373,1999,<5,0.346721413
374,1999,>70,3.482454254
375,1999,50-69,4.198471966
376,1999,43965,0.038759402
377,2000,<5,0.32344842
378,2000,>70,3.478010675
379,2000,50-69,4.150807678
380,2000,43965,0.03666429
381,2001,<5,0.306648867
382,2001,>70,3.474481789
383,2001,50-69,4.158194008
384,2001,43965,0.035460125
385,2002,<5,0.289696395
386,2002,>70,3.440513019
387,2002,50-69,4.137941799
388,2002,43965,0.034258543
389,2003,<5,0.272169132
390,2003,>70,3.406378513
391,2003,50-69,4.137016926
392,2003,43965,0.033006797
393,2004,<5,0.256742686
394,2004,>70,3.380738849
395,2004,50-69,4.133109247
396,2004,43965,0.031554253
397,2005,<5,0.234088971
398,2005,>70,3.320475614
399,2005,50-69,4.052585588
400,2005,43965,0.029195867
401,2006,<5,0.215457591
402,2006,>70,3.253092946
403,2006,50-69,3.986512426
404,2006,43965,0.027485845
405,2007,<5,0.192979613
406,2007,>70,3.199470626
407,2007,50-69,3.944277799
408,2007,43965,0.026021198
409,2008,<5,0.176729401
410,2008,>70,3.1457018
411,2008,50-69,3.905162277
412,2008,43965,0.024585023
413,2009,<5,0.162322006
414,2009,>70,3.084852605
415,2009,50-69,3.883063006
416,2009,43965,0.023181723
417,2010,<5,0.144860912
418,2010,>70,2.962828083
419,2010,50-69,3.779361008
420,2010,43965,0.021399943
421,2011,<5,0.128042966
422,2011,>70,2.866269116
423,2011,50-69,3.692271277
424,2011,43965,0.019628675
425,2012,<5,0.114307362
426,2012,>70,2.823945526
427,2012,50-69,3.675367306
428,2012,43965,0.018006741
429,2013,<5,0.105733373
430,2013,>70,2.781292997
431,2013,50-69,3.647358132
432,2013,43965,0.017039914
433,2014,<5,0.096960527
434,2014,>70,2.738051129
435,2014,50-69,3.625993067
436,2014,43965,0.015760949
437,2015,<5,0.089838844
438,2015,>70,2.721362199
439,2015,50-69,3.645233973
440,2015,43965,0.014771296
441,2016,<5,0.083145023
442,2016,>70,2.734436141
443,2016,50-69,3.664431825
444,2016,43965,0.013699651
445,2017,<5,0.078700811
446,2017,>70,2.741459455
447,2017,50-69,3.66222325
448,2017,43965,0.01285749
449,1990,<5,7134.956351
450,1990,>70,4456.905894
451,1990,50-69,2521.33179
452,1990,43965,304.0021268
453,1991,<5,6626.236988
454,1991,>70,4338.060113
455,1991,50-69,2473.125652
456,1991,43965,298.2879271
457,1992,<5,6095.262902
458,1992,>70,4553.170941
459,1992,50-69,2558.901687
460,1992,43965,281.5814451
461,1993,<5,5428.792749
462,1993,>70,4650.329105
463,1993,50-69,2570.395046
464,1993,43965,253.256557
465,1994,<5,4719.29524
466,1994,>70,4592.807097
467,1994,50-69,2492.121948
468,1994,43965,223.3423333
469,1995,<5,4175.808977
470,1995,>70,4585.723145
471,1995,50-69,2488.727856
472,1995,43965,194.3263106
473,1996,<5,3709.912445
474,1996,>70,4424.596954
475,1996,50-69,2391.911253
476,1996,43965,181.5466752
477,1997,<5,3250.882906
478,1997,>70,4372.168672
479,1997,50-69,2308.407807
480,1997,43965,169.1968899
481,1998,<5,2856.97264
482,1998,>70,4331.199458
483,1998,50-69,2216.367255
484,1998,43965,155.8860942
485,1999,<5,2487.420718
486,1999,>70,4136.571182
487,1999,50-69,2091.98464
488,1999,43965,146.8040203
489,2000,<5,2175.980118
490,2000,>70,4065.927946
491,2000,50-69,2029.851603
492,2000,43965,140.6016165
493,2001,<5,1913.299315
494,2001,>70,3959.483619
495,2001,50-69,1942.15659
496,2001,43965,129.5698669
497,2002,<5,1707.950834
498,2002,>70,3991.767685
499,2002,50-69,1928.160052
500,2002,43965,118.8394445
501,2003,<5,1550.425999
502,2003,>70,4103.0422
503,2003,50-69,1932.681968
504,2003,43965,111.0403878
505,2004,<5,1393.840584
506,2004,>70,4114.075123
507,2004,50-69,1900.886281
508,2004,43965,106.3930321
509,2005,<5,1254.279966
510,2005,>70,4059.806206
511,2005,50-69,1871.971011
512,2005,43965,101.0541874
513,2006,<5,1139.520629
514,2006,>70,3929.553165
515,2006,50-69,1798.624941
516,2006,43965,92.05686105
517,2007,<5,1015.041173
518,2007,>70,3882.976274
519,2007,50-69,1758.243159
520,2007,43965,83.49604908
521,2008,<5,915.7558141
522,2008,>70,3914.194921
523,2008,50-69,1769.291349
524,2008,43965,78.8271489
525,2009,<5,826.9730834
526,2009,>70,4061.998232
527,2009,50-69,1829.222368
528,2009,43965,76.35106349
529,2010,<5,726.7758092
530,2010,>70,4069.00119
531,2010,50-69,1792.059911
532,2010,43965,72.54970315
533,2011,<5,650.4412092
534,2011,>70,3976.656365
535,2011,50-69,1729.530101
536,2011,43965,68.74583643
537,2012,<5,587.0648851
538,2012,>70,3912.257921
539,2012,50-69,1667.672127
540,2012,43965,63.31197318
541,2013,<5,534.2033437
542,2013,>70,3786.824191
543,2013,50-69,1592.947047
544,2013,43965,57.6019246
545,2014,<5,480.2536644
546,2014,>70,3673.848928
547,2014,50-69,1536.432006
548,2014,43965,53.15945859
549,2015,<5,414.5302411
550,2015,>70,3580.200125
551,2015,50-69,1493.323333
552,2015,43965,47.81942621
553,2016,<5,370.9662852
554,2016,>70,3515.996623
555,2016,50-69,1460.814071
556,2016,43965,44.57087301
557,2017,<5,328.3235779
558,2017,>70,3512.376197
559,2017,50-69,1433.599855
560,2017,43965,40.57244228
561,1990,<5,0.00103055
562,1990,>70,0.337511781
563,1990,50-69,0.156964574
564,1990,43965,0.000149436
565,1991,<5,0.000964667
566,1991,>70,0.335007924
567,1991,50-69,0.148919681
568,1991,43965,0.000136702
569,1992,<5,0.000956946
570,1992,>70,0.3430313
571,1992,50-69,0.144586834
572,1992,43965,0.000127289
573,1993,<5,0.000822065
574,1993,>70,0.340790676
575,1993,50-69,0.139582184
576,1993,43965,0.000108444
577,1994,<5,0.000723543
578,1994,>70,0.334032244
579,1994,50-69,0.128467221
580,1994,43965,0.0000916
581,1995,<5,0.000637723
582,1995,>70,0.32028498
583,1995,50-69,0.117197099
584,1995,43965,0.0000805
585,1996,<5,0.000555389
586,1996,>70,0.297641276
587,1996,50-69,0.104982411
588,1996,43965,0.0000719
589,1997,<5,0.000482725
590,1997,>70,0.285545012
591,1997,50-69,0.096613622
592,1997,43965,0.0000662
593,1998,<5,0.000425196
594,1998,>70,0.275991675
595,1998,50-69,0.08991286
596,1998,43965,0.0000616
597,1999,<5,0.000364212
598,1999,>70,0.263875053
599,1999,50-69,0.082593361
600,1999,43965,0.0000558
601,2000,<5,0.000318318
602,2000,>70,0.257935962
603,2000,50-69,0.07893795
604,2000,43965,0.0000515
605,2001,<5,0.00027772
606,2001,>70,0.249104998
607,2001,50-69,0.074145472
608,2001,43965,0.0000473
609,2002,<5,0.000242761
610,2002,>70,0.25435739
611,2002,50-69,0.073082847
612,2002,43965,0.0000458
613,2003,<5,0.000246293
614,2003,>70,0.242910608
615,2003,50-69,0.06951123
616,2003,43965,0.0000463
617,2004,<5,0.000252778
618,2004,>70,0.238941311
619,2004,50-69,0.067625578
620,2004,43965,0.0000476
621,2005,<5,0.000248769
622,2005,>70,0.223550333
623,2005,50-69,0.06252633
624,2005,43965,0.0000458
625,2006,<5,0.000237804
626,2006,>70,0.219477347
627,2006,50-69,0.060447796
628,2006,43965,0.0000444
629,2007,<5,0.000224458
630,2007,>70,0.214413453
631,2007,50-69,0.058430957
632,2007,43965,0.0000412
633,2008,<5,0.000210669
634,2008,>70,0.215638881
635,2008,50-69,0.059335238
636,2008,43965,0.0000393
637,2009,<5,0.000189268
638,2009,>70,0.213469677
639,2009,50-69,0.059234867
640,2009,43965,0.0000361
641,2010,<5,0.000166178
642,2010,>70,0.210566017
643,2010,50-69,0.05821595
644,2010,43965,0.0000336
645,2011,<5,0.000146017
646,2011,>70,0.186700825
647,2011,50-69,0.04918827
648,2011,43965,0.0000308
649,2012,<5,0.000128719
650,2012,>70,0.184593017
651,2012,50-69,0.048003438
652,2012,43965,0.0000284
653,2013,<5,0.000105795
654,2013,>70,0.185995624
655,2013,50-69,0.04884238
656,2013,43965,0.0000261
657,2014,<5,0.0000846
658,2014,>70,0.18836497
659,2014,50-69,0.049838785
660,2014,43965,0.0000232
661,2015,<5,0.0000675
662,2015,>70,0.185689571
663,2015,50-69,0.04932202
664,2015,43965,0.0000207
665,2016,<5,0.0000632
666,2016,>70,0.188964076
667,2016,50-69,0.051213062
668,2016,43965,0.0000196
669,2017,<5,0.0000579
670,2017,>70,0.189977972
671,2017,50-69,0.052052386
672,2017,43965,0.0000187
673,1990,<5,9042.546106
674,1990,>70,1625.479591
675,1990,50-69,2290.122766
676,1990,43965,177.1998304
677,1991,<5,9185.300842
678,1991,>70,1656.714976
679,1991,50-69,2324.491773
680,1991,43965,183.9965528
681,1992,<5,9246.538562
682,1992,>70,1689.278982
683,1992,50-69,2364.657697
684,1992,43965,191.8941047
685,1993,<5,9384.616576
686,1993,>70,1740.971639
687,1993,50-69,2441.120723
