,Year,Age,Value
13621,2007,<5,2.181248851
13622,2007,>70,319.8834463
13623,2007,50-69,192.8294827
13624,2007,43965,0.223682735
13625,2008,<5,2.240823627
13626,2008,>70,300.1613193
13627,2008,50-69,177.6904747
13628,2008,43965,0.218231542
13629,2009,<5,2.131280511
13630,2009,>70,294.0370988
13631,2009,50-69,174.0851361
13632,2009,43965,0.210352939
13633,2010,<5,1.518631105
13634,2010,>70,290.1782328
13635,2010,50-69,168.8409598
13636,2010,43965,0.174151964
13637,2011,<5,1.415776252
13638,2011,>70,263.291478
13639,2011,50-69,151.1879071
13640,2011,43965,0.156844799
13641,2012,<5,1.720610039
13642,2012,>70,267.0468004
13643,2012,50-69,151.3381921
13644,2012,43965,0.16918959
13645,2013,<5,1.654842117
13646,2013,>70,255.5686577
13647,2013,50-69,145.8661234
13648,2013,43965,0.165936507
13649,2014,<5,1.505681401
13650,2014,>70,241.1539456
13651,2014,50-69,141.1255563
13652,2014,43965,0.183530782
13653,2015,<5,1.348200326
13654,2015,>70,243.4560237
13655,2015,50-69,149.1903182
13656,2015,43965,0.18188875
13657,2016,<5,1.60695948
13658,2016,>70,242.0723595
13659,2016,50-69,149.7377025
13660,2016,43965,0.194217081
13661,2017,<5,1.130934148
13662,2017,>70,241.3574345
13663,2017,50-69,146.9372617
13664,2017,43965,0.154262309
13665,1990,<5,6438.634592
13666,1990,>70,2818.322327
13667,1990,50-69,2826.132199
13668,1990,43965,439.8636292
13669,1991,<5,6584.806118
13670,1991,>70,2891.332109
13671,1991,50-69,2888.995904
13672,1991,43965,443.6876046
13673,1992,<5,6723.010895
13674,1992,>70,2948.481324
13675,1992,50-69,2944.478766
13676,1992,43965,446.5285581
13677,1993,<5,6861.996894
13678,1993,>70,3077.048545
13679,1993,50-69,3118.350657
13680,1993,43965,455.7906875
13681,1994,<5,6997.216361
13682,1994,>70,3054.329616
13683,1994,50-69,3019.38086
13684,1994,43965,457.8297913
13685,1995,<5,7054.883004
13686,1995,>70,3096.099298
13687,1995,50-69,3032.88607
13688,1995,43965,459.115749
13689,1996,<5,7031.013074
13690,1996,>70,3209.282667
13691,1996,50-69,3103.939569
13692,1996,43965,452.098979
13693,1997,<5,6910.845185
13694,1997,>70,3285.32054
13695,1997,50-69,3168.254836
13696,1997,43965,435.7117652
13697,1998,<5,6815.498683
13698,1998,>70,3398.30521
13699,1998,50-69,3280.316702
13700,1998,43965,416.5636228
13701,1999,<5,6697.603884
13702,1999,>70,3431.763327
13703,1999,50-69,3297.68305
13704,1999,43965,375.1974675
13705,2000,<5,6491.64665
13706,2000,>70,3410.481368
13707,2000,50-69,3287.978318
13708,2000,43965,367.2045418
13709,2001,<5,6227.405304
13710,2001,>70,3385.240387
13711,2001,50-69,3262.010708
13712,2001,43965,354.7571384
13713,2002,<5,6030.666646
13714,2002,>70,3562.690936
13715,2002,50-69,3469.044794
13716,2002,43965,249.3999504
13717,2003,<5,5792.828129
13718,2003,>70,3538.925667
13719,2003,50-69,3502.639904
13720,2003,43965,243.9142753
13721,2004,<5,5618.305001
13722,2004,>70,3508.72646
13723,2004,50-69,3501.687002
13724,2004,43965,238.95085
13725,2005,<5,5714.936285
13726,2005,>70,3435.550172
13727,2005,50-69,3442.725662
13728,2005,43965,250.9291408
13729,2006,<5,5744.398059
13730,2006,>70,3397.834365
13731,2006,50-69,3471.469973
13732,2006,43965,254.8529506
13733,2007,<5,5790.421567
13734,2007,>70,3362.826596
13735,2007,50-69,3510.597207
13736,2007,43965,258.5964928
13737,2008,<5,5920.101435
13738,2008,>70,3372.099754
13739,2008,50-69,3633.291559
13740,2008,43965,270.1086538
13741,2009,<5,6127.685199
13742,2009,>70,3415.361255
13743,2009,50-69,3775.784947
13744,2009,43965,281.8335444
13745,2010,<5,6099.968253
13746,2010,>70,3452.974673
13747,2010,50-69,3908.923822
13748,2010,43965,278.0593676
13749,2011,<5,6203.146392
13750,2011,>70,3489.443463
13751,2011,50-69,4040.74361
13752,2011,43965,286.6865571
13753,2012,<5,6034.878019
13754,2012,>70,3531.030616
13755,2012,50-69,4175.35135
13756,2012,43965,283.544776
13757,2013,<5,5845.288317
13758,2013,>70,3540.786357
13759,2013,50-69,4273.78546
13760,2013,43965,274.2109447
13761,2014,<5,5842.075946
13762,2014,>70,3550.954626
13763,2014,50-69,4388.558557
13764,2014,43965,278.171166
13765,2015,<5,5756.941772
13766,2015,>70,3590.815846
13767,2015,50-69,4539.066921
13768,2015,43965,277.3827813
13769,2016,<5,5572.736814
13770,2016,>70,3624.198174
13771,2016,50-69,4635.880269
13772,2016,43965,270.6539984
13773,2017,<5,5492.705776
13774,2017,>70,3691.925233
13775,2017,50-69,4759.609932
13776,2017,43965,272.054077
13777,1990,<5,5389.621543
13778,1990,>70,2222.842091
13779,1990,50-69,1611.740597
13780,1990,43965,128.2081058
13781,1991,<5,5404.982295
13782,1991,>70,2291.717629
13783,1991,50-69,1657.448889
13784,1991,43965,128.161338
13785,1992,<5,5496.65005
13786,1992,>70,2393.01719
13787,1992,50-69,1745.118429
13788,1992,43965,133.3983354
13789,1993,<5,5577.131097
13790,1993,>70,2494.978209
13791,1993,50-69,1830.269273
13792,1993,43965,137.2442888
13793,1994,<5,5496.72313
13794,1994,>70,2598.591066
13795,1994,50-69,1925.959002
13796,1994,43965,135.2452914
13797,1995,<5,5168.514333
13798,1995,>70,2672.449892
13799,1995,50-69,2003.797458
13800,1995,43965,133.3314866
13801,1996,<5,4858.168128
13802,1996,>70,2736.908387
13803,1996,50-69,2068.814118
13804,1996,43965,133.0665729
13805,1997,<5,4679.685286
13806,1997,>70,2757.429015
13807,1997,50-69,2095.589563
13808,1997,43965,131.9048663
13809,1998,<5,4599.18982
13810,1998,>70,2789.242572
13811,1998,50-69,2139.077963
13812,1998,43965,132.9296939
13813,1999,<5,4631.849945
13814,1999,>70,2763.246127
13815,1999,50-69,2100.670201
13816,1999,43965,137.280729
13817,2000,<5,4576.675635
13818,2000,>70,2738.539455
13819,2000,50-69,2065.334034
13820,2000,43965,141.1783748
13821,2001,<5,4253.28175
13822,2001,>70,2704.525832
13823,2001,50-69,1993.007817
13824,2001,43965,133.5475747
13825,2002,<5,3883.000625
13826,2002,>70,2687.155475
13827,2002,50-69,1938.215463
13828,2002,43965,125.670484
13829,2003,<5,3616.058216
13830,2003,>70,2692.771262
13831,2003,50-69,1898.799534
13832,2003,43965,121.6673405
13833,2004,<5,3362.848176
13834,2004,>70,2686.067025
13835,2004,50-69,1872.359993
13836,2004,43965,119.1303833
13837,2005,<5,3178.778684
13838,2005,>70,2664.342906
13839,2005,50-69,1832.557673
13840,2005,43965,119.4541531
13841,2006,<5,3008.854506
13842,2006,>70,2635.680481
13843,2006,50-69,1794.97771
13844,2006,43965,119.4585061
13845,2007,<5,2797.812203
13846,2007,>70,2612.824237
13847,2007,50-69,1760.039252
13848,2007,43965,118.3416564
13849,2008,<5,2595.034036
13850,2008,>70,2616.185706
13851,2008,50-69,1742.005465
13852,2008,43965,118.5353737
13853,2009,<5,2534.440251
13854,2009,>70,2612.353249
13855,2009,50-69,1727.465619
13856,2009,43965,125.0391011
13857,2010,<5,2522.164731
13858,2010,>70,2659.2967
13859,2010,50-69,1758.972963
13860,2010,43965,133.860004
13861,2011,<5,2455.259245
13862,2011,>70,2688.151131
13863,2011,50-69,1762.184147
13864,2011,43965,138.5569404
13865,2012,<5,2362.311408
13866,2012,>70,2714.546336
13867,2012,50-69,1755.778588
13868,2012,43965,135.4164942
13869,2013,<5,2265.021122
13870,2013,>70,2766.9618
13871,2013,50-69,1765.668547
13872,2013,43965,131.6261968
13873,2014,<5,2120.08978
13874,2014,>70,2821.905614
13875,2014,50-69,1776.848634
13876,2014,43965,127.3747291
13877,2015,<5,2050.440854
13878,2015,>70,2876.818335
13879,2015,50-69,1794.166377
13880,2015,43965,126.940661
13881,2016,<5,1958.798657
13882,2016,>70,2947.48697
13883,2016,50-69,1819.259127
13884,2016,43965,125.4227723
13885,2017,<5,1852.170742
13886,2017,>70,3007.913454
13887,2017,50-69,1832.03675
13888,2017,43965,121.2307638
13889,1990,<5,86.36671294
13890,1990,>70,1132.414592
13891,1990,50-69,894.9574322
13892,1990,43965,14.75931201
13893,1991,<5,71.91776051
13894,1991,>70,1097.352003
13895,1991,50-69,838.5768016
13896,1991,43965,12.87189422
13897,1992,<5,63.19543089
13898,1992,>70,1042.768437
13899,1992,50-69,785.3686936
13900,1992,43965,11.13640274
13901,1993,<5,53.55827244
13902,1993,>70,960.8506456
13903,1993,50-69,725.770829
13904,1993,43965,9.683083905
13905,1994,<5,44.00628931
13906,1994,>70,894.3324827
13907,1994,50-69,675.4580672
13908,1994,43965,8.450368725
13909,1995,<5,35.70307563
13910,1995,>70,835.9768677
13911,1995,50-69,640.3707192
13912,1995,43965,7.384030427
13913,1996,<5,26.14536255
13914,1996,>70,751.8806205
13915,1996,50-69,587.8672245
13916,1996,43965,6.185085951
13917,1997,<5,23.2915479
13918,1997,>70,672.0975552
13919,1997,50-69,536.6203028
13920,1997,43965,5.789957016
13921,1998,<5,17.7678083
13922,1998,>70,593.7400388
13923,1998,50-69,477.619017
13924,1998,43965,4.800637948
13925,1999,<5,14.84884686
13926,1999,>70,538.100363
13927,1999,50-69,432.6437775
13928,1999,43965,4.310356305
13929,2000,<5,9.707535005
13930,2000,>70,504.6151168
13931,2000,50-69,400.6751056
13932,2000,43965,3.373197469
13933,2001,<5,7.556375099
13934,2001,>70,460.3618833
13935,2001,50-69,362.7330206
13936,2001,43965,2.818885476
13937,2002,<5,6.211985245
13938,2002,>70,408.3591007
13939,2002,50-69,320.3075086
13940,2002,43965,2.409223665
13941,2003,<5,5.306867984
13942,2003,>70,363.6985944
13943,2003,50-69,289.9740113
13944,2003,43965,2.162736723
13945,2004,<5,5.165076793
13946,2004,>70,355.6223334
13947,2004,50-69,289.1084508
13948,2004,43965,2.158422432
13949,2005,<5,5.11268106
13950,2005,>70,351.9962786
13951,2005,50-69,286.4289547
13952,2005,43965,2.097914006
13953,2006,<5,4.390551849
13954,2006,>70,345.978847
13955,2006,50-69,275.3347649
13956,2006,43965,1.834389407
13957,2007,<5,4.473451102
13958,2007,>70,342.2944695
13959,2007,50-69,269.9826774
13960,2007,43965,1.749382151
13961,2008,<5,4.634824902
13962,2008,>70,344.5101658
13963,2008,50-69,269.4504082
13964,2008,43965,1.720580875
13965,2009,<5,4.666276706
13966,2009,>70,353.8514624
13967,2009,50-69,275.0256231
13968,2009,43965,1.734949092
13969,2010,<5,3.517448403
13970,2010,>70,344.0738048
13971,2010,50-69,267.0315299
13972,2010,43965,1.429993286
13973,2011,<5,3.228454846
13974,2011,>70,310.6161126
13975,2011,50-69,246.77732
13976,2011,43965,1.271356001
13977,2012,<5,3.115245516
13978,2012,>70,294.9285841
13979,2012,50-69,232.9348102
13980,2012,43965,1.220004332
13981,2013,<5,2.524116905
13982,2013,>70,285.517722
13983,2013,50-69,226.0829393
13984,2013,43965,1.045376142
13985,2014,<5,2.669770742
13986,2014,>70,281.8950512
13987,2014,50-69,223.0540798
13988,2014,43965,1.044067817
13989,2015,<5,2.717095919
13990,2015,>70,265.3975659
13991,2015,50-69,207.5666185
13992,2015,43965,1.009327064
13993,2016,<5,2.099270413
13994,2016,>70,267.3993417
13995,2016,50-69,204.1130941
13996,2016,43965,0.85708168
13997,2017,<5,1.692131074
13998,2017,>70,249.0194925
13999,2017,50-69,188.19915
14000,2017,43965,0.727437966
14001,1990,<5,14.73714234
14002,1990,>70,30.43128552
14003,1990,50-69,47.69309789
14004,1990,43965,1.059973631
14005,1991,<5,12.79864022
14006,1991,>70,31.16890293
14007,1991,50-69,48.2280896
14008,1991,43965,0.992878203
14009,1992,<5,10.85926519
14010,1992,>70,32.11180351
14011,1992,50-69,48.61890192
14012,1992,43965,0.889998484
14013,1993,<5,9.248686091
14014,1993,>70,31.6233408
14015,1993,50-69,47.53458556
14016,1993,43965,0.796082653
14017,1994,<5,7.873013278
14018,1994,>70,31.20731795
14019,1994,50-69,45.61557918
14020,1994,43965,0.73283416
14021,1995,<5,6.58431542
14022,1995,>70,32.29713452
14023,1995,50-69,44.73866853
14024,1995,43965,0.659250288
14025,1996,<5,5.692515608
14026,1996,>70,31.89894527
14027,1996,50-69,42.25211639
14028,1996,43965,0.603435801
14029,1997,<5,5.068554811
14030,1997,>70,31.72777204
14031,1997,50-69,39.50772497
14032,1997,43965,0.569376747
14033,1998,<5,4.166592303
14034,1998,>70,30.99616989
14035,1998,50-69,37.1332648
14036,1998,43965,0.512588404
14037,1999,<5,3.336281757
14038,1999,>70,29.18101718
14039,1999,50-69,34.51108347
14040,1999,43965,0.458948454
14041,2000,<5,2.644538758
14042,2000,>70,28.65478625
14043,2000,50-69,31.91329107
14044,2000,43965,0.411076523
14045,2001,<5,2.083814272
14046,2001,>70,28.03801202
14047,2001,50-69,29.09053404
14048,2001,43965,0.359920942
14049,2002,<5,1.601795577
14050,2002,>70,27.04914444
14051,2002,50-69,25.99082751
14052,2002,43965,0.312399349
14053,2003,<5,1.263613795
14054,2003,>70,25.93001216
14055,2003,50-69,22.90976258
14056,2003,43965,0.280712567
14057,2004,<5,1.028744938
14058,2004,>70,25.24781161
14059,2004,50-69,20.30836331
14060,2004,43965,0.236529424
14061,2005,<5,0.869621858
14062,2005,>70,24.5641908
14063,2005,50-69,17.93402636
14064,2005,43965,0.191634295
14065,2006,<5,0.813956139
14066,2006,>70,22.71756366
14067,2006,50-69,15.22837169
14068,2006,43965,0.147210202
14069,2007,<5,0.688857819
14070,2007,>70,21.31539409
14071,2007,50-69,13.01464617
14072,2007,43965,0.111544275
14073,2008,<5,0.562713001
14074,2008,>70,19.3053058
14075,2008,50-69,11.14339369
14076,2008,43965,0.085014799
14077,2009,<5,0.449653859
14078,2009,>70,16.42432952
14079,2009,50-69,9.45173906
14080,2009,43965,0.06541446
14081,2010,<5,0.365605213
14082,2010,>70,15.09988388
14083,2010,50-69,8.364489466
14084,2010,43965,0.052105348
14085,2011,<5,0.296457996
14086,2011,>70,13.68460589
14087,2011,50-69,7.340506776
14088,2011,43965,0.041998332
14089,2012,<5,0.232381044
14090,2012,>70,12.48296142
14091,2012,50-69,6.6516127
14092,2012,43965,0.033885873
14093,2013,<5,0.181862785
14094,2013,>70,11.65962201
14095,2013,50-69,6.136388123
14096,2013,43965,0.027775009
14097,2014,<5,0.143262944
14098,2014,>70,10.80149583
14099,2014,50-69,5.756745235
14100,2014,43965,0.023325622
14101,2015,<5,0.110368525
14102,2015,>70,10.03866819
14103,2015,50-69,5.526544363
14104,2015,43965,0.019643688
14105,2016,<5,0.082103244
14106,2016,>70,9.393468537
14107,2016,50-69,5.332936516
14108,2016,43965,0.016019435
14109,2017,<5,0.064110788
14110,2017,>70,8.755826116
14111,2017,50-69,5.145979331
14112,2017,43965,0.013504437
14113,1990,<5,5309.986823
14114,1990,>70,1706.820123
14115,1990,50-69,1931.267458
14116,1990,43965,101.5191224
14117,1991,<5,5258.843797
14118,1991,>70,1673.577117
14119,1991,50-69,1891.47726
14120,1991,43965,101.1241293
14121,1992,<5,5203.900708
14122,1992,>70,1665.865154
14123,1992,50-69,1886.976659
14124,1992,43965,101.3785739
14125,1993,<5,5109.372081
14126,1993,>70,1646.887584
14127,1993,50-69,1852.84805
14128,1993,43965,100.2515433
14129,1994,<5,4943.761059
14130,1994,>70,1639.609046
14131,1994,50-69,1850.817241
14132,1994,43965,98.84962741
14133,1995,<5,4880.461004
14134,1995,>70,1644.595499
14135,1995,50-69,1874.651741
14136,1995,43965,99.79127746
14137,1996,<5,4799.188079
14138,1996,>70,1618.564939
14139,1996,50-69,1865.671579
14140,1996,43965,99.17854897
14141,1997,<5,4710.71074
14142,1997,>70,1615.556366
14143,1997,50-69,1870.416478
14144,1997,43965,97.36794233
14145,1998,<5,4628.231227
14146,1998,>70,1581.666011
14147,1998,50-69,1867.457612
14148,1998,43965,95.83534539
14149,1999,<5,4606.905332
14150,1999,>70,1586.961635
14151,1999,50-69,1861.499283
14152,1999,43965,97.05455742
14153,2000,<5,4532.626113
14154,2000,>70,1609.771126
14155,2000,50-69,1852.609047
14156,2000,43965,97.98627168
14157,2001,<5,4372.419395
14158,2001,>70,1638.577004
14159,2001,50-69,1828.6515
14160,2001,43965,96.10538739
14161,2002,<5,4534.66584
14162,2002,>70,1682.296911
14163,2002,50-69,1821.559825
14164,2002,43965,103.3911031
14165,2003,<5,4372.349533
14166,2003,>70,1703.911467
14167,2003,50-69,1786.13249
14168,2003,43965,101.1737757
14169,2004,<5,4227.327654
14170,2004,>70,1746.928465
14171,2004,50-69,1800.060488
14172,2004,43965,99.4992085
14173,2005,<5,4106.924067
14174,2005,>70,1791.530466
14175,2005,50-69,1803.114327
14176,2005,43965,98.93610832
14177,2006,<5,4093.141071
14178,2006,>70,1834.300892
14179,2006,50-69,1807.165419
14180,2006,43965,101.9525125
14181,2007,<5,3995.085336
14182,2007,>70,1909.026864
14183,2007,50-69,1834.566386
14184,2007,43965,102.1434426
14185,2008,<5,4049.525118
14186,2008,>70,1966.23661
14187,2008,50-69,1847.217926
14188,2008,43965,106.762845
14189,2009,<5,4051.333283
14190,2009,>70,2051.271888
14191,2009,50-69,1866.925389
14192,2009,43965,109.2392361
14193,2010,<5,3929.251947
14194,2010,>70,2115.945424
14195,2010,50-69,1902.204189
14196,2010,43965,107.4063244
14197,2011,<5,3782.826064
14198,2011,>70,2180.703194
14199,2011,50-69,1941.662486
14200,2011,43965,104.6489645
14201,2012,<5,3766.411334
14202,2012,>70,2260.945318
14203,2012,50-69,1997.64622
14204,2012,43965,105.1427337
14205,2013,<5,3740.283418
14206,2013,>70,2338.53414
14207,2013,50-69,2052.969826
14208,2013,43965,104.2999937
14209,2014,<5,3769.159407
14210,2014,>70,2409.002352
14211,2014,50-69,2110.079708
14212,2014,43965,105.326734
14213,2015,<5,3839.117107
14214,2015,>70,2433.761508
14215,2015,50-69,2124.806776
14216,2015,43965,107.3362451
14217,2016,<5,4319.526915
14218,2016,>70,2549.448342
14219,2016,50-69,2219.415453
14220,2016,43965,120.1073837
14221,2017,<5,4219.559729
14222,2017,>70,2605.058151
14223,2017,50-69,2253.451389
14224,2017,43965,116.6389144
14225,1990,<5,0.019500995
14226,1990,>70,5.940183319
14227,1990,50-69,2.591130396
14228,1990,43965,0.003176373
14229,1991,<5,0.017512002
14230,1991,>70,5.735786206
14231,1991,50-69,2.379638406
14232,1991,43965,0.00294711
14233,1992,<5,0.015649201
14234,1992,>70,5.491989107
14235,1992,50-69,2.179481218
14236,1992,43965,0.002885804
14237,1993,<5,0.013445617
14238,1993,>70,5.025245816
14239,1993,50-69,1.93471509
14240,1993,43965,0.002526748
14241,1994,<5,0.011941152
14242,1994,>70,4.782448631
14243,1994,50-69,1.779780554
14244,1994,43965,0.00214342
14245,1995,<5,0.010677559
14246,1995,>70,4.596950806
14247,1995,50-69,1.64759772
14248,1995,43965,0.001877699
14249,1996,<5,0.009998737
14250,1996,>70,4.443791476
14251,1996,50-69,1.549829041
14252,1996,43965,0.001781041
14253,1997,<5,0.008748101
14254,1997,>70,4.246709339
14255,1997,50-69,1.447356904
14256,1997,43965,0.001621945
14257,1998,<5,0.007578674
14258,1998,>70,4.07333824
14259,1998,50-69,1.35123173
14260,1998,43965,0.001564273
14261,1999,<5,0.006789573
14262,1999,>70,3.989633778
14263,1999,50-69,1.286923128
14264,1999,43965,0.001567216
14265,2000,<5,0.005808362
14266,2000,>70,3.836939929
14267,2000,50-69,1.202948157
14268,2000,43965,0.001443448
14269,2001,<5,0.00509205
14270,2001,>70,3.721521734
14271,2001,50-69,1.136910783
14272,2001,43965,0.001363116
14273,2002,<5,0.004631286
14274,2002,>70,3.504402579
14275,2002,50-69,1.051546926
14276,2002,43965,0.001394556
14277,2003,<5,0.004275327
14278,2003,>70,3.371873292
14279,2003,50-69,0.984141293
14280,2003,43965,0.001323391
14281,2004,<5,0.00398233
14282,2004,>70,3.23802621
14283,2004,50-69,0.936432073
14284,2004,43965,0.001197591
14285,2005,<5,0.003656691
14286,2005,>70,3.062014714
14287,2005,50-69,0.878831086
14288,2005,43965,0.001070571
14289,2006,<5,0.003369906
14290,2006,>70,2.943936161
14291,2006,50-69,0.830023233
14292,2006,43965,0.001030888
14293,2007,<5,0.003242126
14294,2007,>70,2.776101657
14295,2007,50-69,0.774664344
14296,2007,43965,0.000926471
14297,2008,<5,0.003099185
14298,2008,>70,2.563974763
14299,2008,50-69,0.71475773
14300,2008,43965,0.000812338
14301,2009,<5,0.002831356
14302,2009,>70,2.400824044
14303,2009,50-69,0.6670882
14304,2009,43965,0.000732461
14305,2010,<5,0.002577844
14306,2010,>70,2.224003114
14307,2010,50-69,0.631188822
14308,2010,43965,0.000634562
14309,2011,<5,0.002407426
14310,2011,>70,2.082379635
14311,2011,50-69,0.604086061
14312,2011,43965,0.000610909
14313,2012,<5,0.002255403
14314,2012,>70,2.069183715
14315,2012,50-69,0.610861325
14316,2012,43965,0.000570558
14317,2013,<5,0.002107309
14318,2013,>70,1.958533649
14319,2013,50-69,0.57331755
14320,2013,43965,0.000523413
14321,2014,<5,0.002028485
14322,2014,>70,2.041551995
14323,2014,50-69,0.56968817
14324,2014,43965,0.000505666
14325,2015,<5,0.001903847
14326,2015,>70,1.975882013
14327,2015,50-69,0.526618811
14328,2015,43965,0.000472602
14329,2016,<5,0.001801596
14330,2016,>70,2.040347796
14331,2016,50-69,0.525264237
14332,2016,43965,0.00043451
14333,2017,<5,0.001582672
14334,2017,>70,2.017073219
14335,2017,50-69,0.498952004
14336,2017,43965,0.000391884
14337,1990,<5,1.953689599
14338,1990,>70,5.239093334
14339,1990,50-69,6.434671654
14340,1990,43965,0.158006189
14341,1991,<5,1.896227894
14342,1991,>70,5.30693598
14343,1991,50-69,6.438260632
14344,1991,43965,0.16239053
14345,1992,<5,1.839184886
14346,1992,>70,5.358880353
14347,1992,50-69,6.60651371
14348,1992,43965,0.164429716
14349,1993,<5,1.761540406
14350,1993,>70,5.376236673
14351,1993,50-69,6.738463602
14352,1993,43965,0.163070526
14353,1994,<5,1.718008664
14354,1994,>70,5.268159316
14355,1994,50-69,6.694100189
14356,1994,43965,0.159962354
14357,1995,<5,1.677053885
14358,1995,>70,5.206094138
14359,1995,50-69,6.685750776
14360,1995,43965,0.155447871
14361,1996,<5,1.706264344
14362,1996,>70,5.150789672
14363,1996,50-69,6.812391276
14364,1996,43965,0.155643622
14365,1997,<5,1.732811944
14366,1997,>70,5.104652786
14367,1997,50-69,6.986969424
14368,1997,43965,0.15508003
14369,1998,<5,1.756892934
14370,1998,>70,5.112256763
14371,1998,50-69,7.132263352
14372,1998,43965,0.154342355
14373,1999,<5,1.760592851
14374,1999,>70,4.9535552
14375,1999,50-69,7.288015538
14376,1999,43965,0.15056446
14377,2000,<5,1.768797143
14378,2000,>70,4.887002766
14379,2000,50-69,7.420813722
14380,2000,43965,0.146330924
14381,2001,<5,1.744720552
14382,2001,>70,4.77389263
14383,2001,50-69,7.698121349
14384,2001,43965,0.141644416
14385,2002,<5,1.725005468
14386,2002,>70,4.662583556
14387,2002,50-69,7.926067349
14388,2002,43965,0.138384769
14389,2003,<5,1.719214747
14390,2003,>70,4.578211872
14391,2003,50-69,8.201287314
14392,2003,43965,0.135510587
14393,2004,<5,1.669002134
14394,2004,>70,4.399675632
14395,2004,50-69,8.443729982
14396,2004,43965,0.130301162
14397,2005,<5,1.5954318
14398,2005,>70,4.294398117
14399,2005,50-69,8.614178971
14400,2005,43965,0.124299486
14401,2006,<5,1.492935322
14402,2006,>70,4.204251766
14403,2006,50-69,8.940702592
14404,2006,43965,0.118542479
14405,2007,<5,1.394882208
14406,2007,>70,4.06301432
14407,2007,50-69,9.139590824
14408,2007,43965,0.112856608
14409,2008,<5,1.26159949
14410,2008,>70,3.922699313
14411,2008,50-69,9.249538658
14412,2008,43965,0.105451013
14413,2009,<5,1.137635318
14414,2009,>70,3.757570465
14415,2009,50-69,9.296600312
14416,2009,43965,0.099123725
14417,2010,<5,1.019520018
14418,2010,>70,3.633717465
14419,2010,50-69,9.206453521
14420,2010,43965,0.09232277
14421,2011,<5,0.916997242
14422,2011,>70,3.501026098
14423,2011,50-69,9.259938497
14424,2011,43965,0.086406242
14425,2012,<5,0.800781922
14426,2012,>70,3.438732174
14427,2012,50-69,9.183247654
14428,2012,43965,0.079655871
14429,2013,<5,0.70325816
14430,2013,>70,3.369846174
14431,2013,50-69,9.101957339
14432,2013,43965,0.073681082
14433,2014,<5,0.626435678
14434,2014,>70,3.335633967
14435,2014,50-69,9.065353439
14436,2014,43965,0.068957569
14437,2015,<5,0.557607084
14438,2015,>70,3.32792199
14439,2015,50-69,9.003613038
14440,2015,43965,0.064354463
14441,2016,<5,0.490708269
14442,2016,>70,3.306824065
14443,2016,50-69,8.82394246
14444,2016,43965,0.059427205
14445,2017,<5,0.441921996
14446,2017,>70,3.329493217
14447,2017,50-69,8.628621321
14448,2017,43965,0.055325557
14449,1990,<5,355.32113
14450,1990,>70,392.0623049
14451,1990,50-69,295.5484014
14452,1990,43965,13.41237803
14453,1991,<5,365.4203974
14454,1991,>70,404.2216762
14455,1991,50-69,301.5507713
14456,1991,43965,14.26859792
14457,1992,<5,369.0673664
14458,1992,>70,412.0986964
14459,1992,50-69,306.4741992
14460,1992,43965,14.91107034
14461,1993,<5,374.8451731
14462,1993,>70,422.9768462
14463,1993,50-69,311.2347906
14464,1993,43965,15.6397509
14465,1994,<5,378.099822
14466,1994,>70,428.1588903
14467,1994,50-69,312.5889476
14468,1994,43965,16.18229084
14469,1995,<5,377.440502
14470,1995,>70,428.1445936
14471,1995,50-69,310.5635527
14472,1995,43965,16.47395968
14473,1996,<5,394.6869122
14474,1996,>70,430.6644668
14475,1996,50-69,310.9577387
14476,1996,43965,17.84301259
14477,1997,<5,395.8620788
14478,1997,>70,426.8340195
14479,1997,50-69,305.537995
14480,1997,43965,18.01959117
14481,1998,<5,402.1264359
14482,1998,>70,427.5681199
14483,1998,50-69,301.5080669
14484,1998,43965,18.37393413
14485,1999,<5,408.4762613
14486,1999,>70,423.3169702
14487,1999,50-69,302.8906417
14488,1999,43965,18.56022106
14489,2000,<5,416.2428637
14490,2000,>70,423.1714899
14491,2000,50-69,306.2529824
14492,2000,43965,18.66818835
14493,2001,<5,421.2203991
14494,2001,>70,432.021846
14495,2001,50-69,307.2526612
14496,2001,43965,18.55683629
14497,2002,<5,421.056761
14498,2002,>70,437.701124
14499,2002,50-69,303.1874754
14500,2002,43965,18.21728622
14501,2003,<5,414.5438948
14502,2003,>70,444.1476382
14503,2003,50-69,304.1671095
14504,2003,43965,17.71400793
14505,2004,<5,400.4354821
14506,2004,>70,450.8938474
14507,2004,50-69,303.2059368
14508,2004,43965,17.18477432
14509,2005,<5,405.021107
14510,2005,>70,454.0768968
14511,2005,50-69,300.473944
14512,2005,43965,17.93755463
14513,2006,<5,385.2788589
14514,2006,>70,449.5762185
14515,2006,50-69,297.2588332
14516,2006,43965,17.79581562
14517,2007,<5,362.695376
14518,2007,>70,447.5674041
14519,2007,50-69,295.7689858
14520,2007,43965,17.55081741
14521,2008,<5,338.1984145
14522,2008,>70,446.3330258
14523,2008,50-69,296.7537232
14524,2008,43965,17.17545582
14525,2009,<5,321.1934662
14526,2009,>70,446.4548264
14527,2009,50-69,297.3830061
14528,2009,43965,17.14094931
14529,2010,<5,297.5815534
14530,2010,>70,447.691064
14531,2010,50-69,296.7733055
14532,2010,43965,16.63096834
14533,2011,<5,277.8122312
14534,2011,>70,446.7801255
14535,2011,50-69,297.9163028
14536,2011,43965,16.33475496
14537,2012,<5,258.7829428
14538,2012,>70,443.0170194
14539,2012,50-69,296.4941788
